Package,Function,Parameter,Parameter Doc,Sink,Unusual,PR,Comments,Determined By
@evervault/sdk,cagify,cageName,,CommandInjection,,,,
@f5devcentral/f5-cloud-libs,getCloudProvider,name,"Name of the provider
",TaintedPath,,,,
@f5devcentral/f5-cloud-libs,symmetricEncrypt,publicKeyDataOrFile,"Either the public key, or the full path to
a file containing the public key. The symmetric
key will be encrypted with this key.
",TaintedPath,,,,
@f5devcentral/f5-cloud-libs,writeDataToFile,file,"The file to write to
*",TaintedPath,,,,
@favware/yamlreader,readYaml,filepath,,TaintedPath,,,,
@finastra/nestjs-oidc,user,userinfo,,ReflectedXss,yes,,,param+func
@finastra/nestjs-oidc,user,userinfo,,ReflectedXss,yes,,,param+func
@finastra/nestjs-oidc,user,userinfo,,ReflectedXss,yes,,,param+func
@foal/core,render,dirname,,TaintedPath,no,,,param+func
@frctl/core,describe,dir,,TaintedPath,,,,
@google-cloud/nodejs-repo-tools,getRepoPath,cwd,,TaintedPath,no,,,param+func
@google-cloud/nodejs-repo-tools,load,filename,,TaintedPath,,,,
@google-cloud/nodejs-repo-tools,spawnAsyncWithIO,cwd,,TaintedPath,no,,,param+func
@google-cloud/storage,upload,pathString,"The fully qualified path to the file you
wish to upload to your bucket.
",TaintedPath,,,,
@gourmet/send-content,sendContent,content,,ReflectedXss,no,,,param+func
@gourmet/storage-fs,stat,path,,TaintedPath,,,,
@gql2ts/util,writeToFile,fileName,,TaintedPath,,,,
@gqlapp/upload-server-ts,save,location,,TaintedPath,,,,
@haul-bundler/core,resolveModule,name,,TaintedPath,,,,
@haventech/amorphic,getTemplates,appPath,"The path for app files.
",TaintedPath,,,,
@haventech/amorphic,listen,appDirectory,"unknown
",TaintedPath,no,,,param
@haventech/amorphic-framework,startPersistorMode,appDirectory,"unknown
",TaintedPath,no,,,param
@hilesystem/local,fileIsExecutable,t,,TaintedPath,,,,
@hilesystem/local,getStatus,e,,TaintedPath,,,,
@hilesystem/local,listContents,t,,TaintedPath,,,,
@hilesystem/local,move,t,,TaintedPath,no,,,func
@hint/utils-fs,isDirectory,directoryPath,,TaintedPath,,,,
@hint/utils-fs,readFile,filePath,,TaintedPath,,,,
@igniteui/cli-core,queuePackage,packageName,,CommandInjection,,,,
@imqueue/rpc,writeFile,path,,TaintedPath,,,,
@iobroker/create-adapter,executeCommand,cwd,,TaintedPath,,,,
@iobroker/create-adapter,readTextFile,fileName,,TaintedPath,no,,,param+func
@iobroker/db-base,loadDatasetFile,datasetName,"Filename of the file to load
",TaintedPath,,,,
@iobroker/js-controller-cli,streamChange,path,"The file to stream
",TaintedPath,,,,
@ionic/app-scripts,getSystemText,userRootDir,,TaintedPath,,,,
@ionic/app-scripts,processDirectiveRequest,ngModulePath,,TaintedPath,,,,
@ionic/utils-fs,pathAccessible,filePath,,TaintedPath,,,,
@ionic/utils-fs,writeStreamToFile,destination,,TaintedPath,,,,
@jenkins-blueocean/js-builder,warnOnMissingDependency,depName,,TaintedPath,yes,,,param+func
@jenkins-cd/js-builder,findClosest,fileName,"The file name to look for.
",TaintedPath,no,,,param+func
@jfrog/jfrog-azure-devops-extension,configureDefaultJfrogServer,workDir,"Working directory.
",TaintedPath,,,,
@jfrog/jfrog-azure-devops-extension,removeExtractorsDownloadVariables,workDir,,TaintedPath,,,,
@jfrog/tasks-utils,executeCliCommand,runningDir,,TaintedPath,,,,
@jfrog/tasks-utils,useCliServer,buildDir,,TaintedPath,no,,,param+func
@jupyterlab/buildutils,getLernaPaths,basePath,,TaintedPath,,,,
@kartotherian/jobprocessor,fileParser,filepath,,TaintedPath,,,,
@kgryte/gitattributes,cp,dest,".gitattributes destination directory
",TaintedPath,,,,
@kosko/monorepo,loadFile,path,,TaintedPath,,,,
@kubernetes-models/export-map,generate,ignoreFile,,TaintedPath,,,,
@lerna-test/pkg-matchers,toHaveExecutables,received,,TaintedPath,,,,
@lerna-test/show-commit,showCommit,cwd,,TaintedPath,no,,,param+func
@lerna/npm-install,npmInstallDependencies,manifestLocation,,TaintedPath,,,,
@lerna/npm-publish,npmPublish,tarFilePath,,TaintedPath,no,,,param+func
@loopback/repository,defineModelClass,name,,CodeInjection,yes,,,param+func+func doc
@lumieducation/h5p-monorepo,createSingleBundle,contentId,"a content id that can be found in the content repository
passed into the constructor
",TaintedPath,,,,
@lumieducation/h5p-server,h5pfs,librariesPath,,TaintedPath,,,,
@machinelabs/core,parseMlYamlFromPath,path,,TaintedPath,,,,
@makenova/nodeginx,removeSite,site,,CommandInjection,,,,
@metaexplorer/editor-dev-server,copyDir,dest,,TaintedPath,,,,
@metaexplorer/editor-dev-server,mkdir,dir,,TaintedPath,,,,
@microsoft/api-extractor,loadConfigAndInvoke,configFilePath,,TaintedPath,,,,
@microsoft/marked-schema,getExampleForProperty,example,,TaintedPath,,,,
@microsoft/teamsfx-core,installExtension,backendRoot,,TaintedPath,,,,
@mojaloop/central-services-shared,createParticipantTopicConf,template,"The template for that needs to be populated
",CodeInjection,no,,kafka topic template to be filled by mustache,param+param doc+filename
@naturacosmeticos/node-base,onInvalidAuthorization,error,,ReflectedXss,yes,,sending error message,param+func
@nexrender/provider-gs,upload,src,,TaintedPath,,,,
@nimbella/nimbella-deployer,readProject,projectPath,,TaintedPath,,,,
@nishans/markdown,parseFile,path,,TaintedPath,,,,
@node-wot/binding-websockets,WebSocketServer,serverKey,,TaintedPath,,,,
@nodearch/core,findUp,searchPath,,TaintedPath,,,,
@nohost/router,writeError,stack,,ReflectedXss,yes,,,param+func
@nohost/server,writeError,stack,,ReflectedXss,yes,,,param+func
@now/build-utils,runNpmInstall,destPath,,TaintedPath,,,,
@now/build-utils,runShellScript,fsPath,,CommandInjection,,,,
@nrwl/workspace,copyFile,file,,TaintedPath,,,,
@nrwl/workspace,updatePackagesInPackageJson,migrationFilePath,,TaintedPath,,,,
@nx-console/vscode/tasks,selectGenerator,workspacePath,,TaintedPath,no,,,param+func
@okiss/utils,runRule,o,,CodeInjection,yes,,very generic name,unclear
@okta/okta-auth-js,setEnvironmentVarsFromTestEnv,currDir,,TaintedPath,,,,
@openintegrationhub/webhooks,sendResponse,body,,ReflectedXss,no,,,param+func
@osd/config,createDefault,repoRoot,,TaintedPath,no,,,param+func
@overnightjs/logger,CheckExists,filePath,,TaintedPath,no,,,param+func
@parcel/cache,hasLargeBlob,key,,TaintedPath,,,,
@parcel/fs,exists,filePath,,TaintedPath,no,,,param+func
@parcel/package-manager,install,from,,TaintedPath,no,,annotated as FilePath,param+func
@pattern-lab/live-server,start,httpsModule,,TaintedPath,,,,
@pivotal-tools/jvm-launch-utils,findJdk,javaHome,,TaintedPath,,,,
@pkgr/utils,findUp,searchFile,,TaintedPath,,,,
@pkgr/utils,tryFile,filePath,,TaintedPath,,,,
@plugcore/core,fileOrFolderExists,folderPath,,TaintedPath,,,,
@plugcore/core,removeFile,filePath,,TaintedPath,,,,
@pnpm/exportable-manifest,makePublishManifest,dir,,TaintedPath,,,,
@pnpm/read-project-manifest,readProjectManifestOnly,projectDir,,TaintedPath,,,,
@pollyjs/node-server,getRecording,recording,,TaintedPath,,,,
@polymer/gen-typescript-declarations,generateDeclarations,rootDir,,TaintedPath,,,,
@prairielearn/html-ejs,renderEjs,template,,CodeInjection,no,,template engine for HTML (`template` is raw string),param+func+func doc
@project-watchtower/server,existsSync,file,,TaintedPath,,,,
@project-watchtower/server,getFileSize,filePath,,TaintedPath,,,,
@public-js/fs-ext,forEachFile,dir,,TaintedPath,,,,
@pushcorn/hocon-parser,getClass,name,,TaintedPath,,,,
@pushrocks/smartenv,getSafeNodeModule,moduleNameArg,,CodeInjection,yes,,,param
@pushrocks/smartshell,execAndWaitForLine,commandStringArg,,CommandInjection,no,,"explained in docstring: ""executes a command""",param+func doc
@reactant/core,install,platformName,,TaintedPath,,,,
@redwoodjs/internal,prebuildApiFile,srcPath,,TaintedPath,,,,
@restlessness/core,copyFile,source,,TaintedPath,,,,
@restlessness/utilities,load,packageName,,TaintedPath,,,,
@rnv/sdk-android,packageAndroid,c,,CommandInjection,yes,,,unclear
@rnv/sdk-apple,packageBundleForXcode,c,,CommandInjection,yes,,,unclear
@rnv/sdk-apple,runXcodeProject,c,,CommandInjection,,,,
@robmcelhinney/qr-file-share,@robmcelhinney/qr-file-share,base_path,,ReflectedXss,yes,,,param+func
@rushstack/node-core-library,createSymbolicLinkFileAsync,newLinkPath,,TaintedPath,,,,
@rushstack/node-core-library,getLinkStatisticsAsync,path,,TaintedPath,no,,,param+func
@rushstack/node-core-library,loadAndValidate,jsonFilename,,TaintedPath,,,,
@rushstack/node-core-library,loadAndValidateWithCallbackAsync,jsonFilename,,TaintedPath,,,,
@rushstack/node-core-library,move,destinationPath,,TaintedPath,,,,
@rushstack/node-core-library,readFileToBuffer,filePath,The relative or absolute path to the file whose contents should be read.,TaintedPath,,,,
@rushstack/node-core-library,readFolderAsync,folderPath,,TaintedPath,,,,
@rushstack/node-core-library,readFolderItemNamesAsync,folderPath,,TaintedPath,,,,
@rushstack/node-core-library,updateTimes,path,"The path of the file that should be modified.
",TaintedPath,no,,,param+func+param doc+func doc
@rushstack/rig-package,tryResolveConfigFilePath,configFileRelativePath,,TaintedPath,,,,
@rxts/pkgr,tryExtensions,filepath,,TaintedPath,,,,
@seagull/mock-s3,S3MockFS,localFolder,,TaintedPath,,,,
@seagull/routes,html,data,,ReflectedXss,no,,send a whole html page,param+func doc
@shutter/core,createShutter,testsDirectoryPath,,TaintedPath,,,,
@sifrr/dev,@sifrr/dev,changelogFile,,TaintedPath,,,,
@sifrr/dev,exec,command,,CommandInjection,,,,
@simplr/mvdir,move,to,,TaintedPath,no,,package name is mvdir,func+package
@sitecore-jss/sitecore-jss-dev-tools,mergeFs,rootPath,,TaintedPath,,,,
@skalenetwork/ima-artifacts,getArtifacts,deployment,,TaintedPath,,,,
@slynova/flydrive,delete,location,,TaintedPath,,,,
@slynova/flydrive,put,location,,TaintedPath,,,,
@spaship/common,read,_filepath,,TaintedPath,,,,
@supercharge/framework,payload,payload,,ReflectedXss,no,,just serve a payload,param+func
@superfaceai/one-sdk,loadCached,path,,TaintedPath,,,,
@techmely/utils,copyDir,destDir,,TaintedPath,,,,
@theia/ffmpeg,hashFile,filePath,,TaintedPath,,,,
@theopenweb/chrome-history-helper,downloadHistoryData,csvUrl,,TaintedPath,,,,
@tinacms/graphql,buildSchema,rootPath,,TaintedPath,,,,
@tinacms/graphql,documentExists,fullpath,,TaintedPath,,,,
@tractor/file-structure,createDirIfMissing,directoryPath,,TaintedPath,,,,
@truffle/box,unbox,destination,,TaintedPath,,,,
@truffle/external-compile,processTarget,cwd,,TaintedPath,no,,,param+README
@trustcerts/signature-create,signFile,filePath,,TaintedPath,,,,
@tscmono/root,findPackageJson,pwd,,TaintedPath,,,,
@tscmono/root,treeNodeToTSConfig,projectPath,,TaintedPath,no,,,param+param doc+func doc
@useoptic/openapi-io,parseOpenAPIFromRepoWithSourcemap,branch,,CommandInjection,,,,
@useoptic/openapi-io,parseOpenAPIFromRepoWithSourcemap,repoPath,,TaintedPath,,,,
@vercel/build-utils,getNodeBinPath,cwd,,TaintedPath,,,,
@vercel/build-utils,scanParentDirs,destPath,,TaintedPath,,,,
@verdaccio/config,parseConfigFile,configPath,,TaintedPath,,,,
@verdaccio/middleware,final,body,,ReflectedXss,yes,,debatable: client would know this is related to HTTP response which `body` also indicates,param+func
@vimesh/orm,setupOrm,migrationsDir,,TaintedPath,no,,,param+func
@vimesh/storage,createCacheForScopedStorage,cacheDir,,TaintedPath,no,,,param+func
@vimesh/storage,getFullLocalStat,localFilePath,,TaintedPath,,,,
@vimesh/storage,getObjectAsFile,localFilePath,,TaintedPath,no,,,param+func
@vitjs/core,writeFile,path,,TaintedPath,no,,,param+file
@wdio/cli,Launcher,_configFilePath,,TaintedPath,,,,
@webfx/root,create,path,,TaintedPath,,,,
@whitecolor/yall,watchAll,execAfter,,CommandInjection,,,,
@yarnpkg/core,fromFile,path,,TaintedPath,,,,
1pif-to-csv,1pif-to-csv,file,,TaintedPath,,,,
aaa-backend-stack,listFiles,directory,,TaintedPath,,,,
abacus-eval,xevalfn,expression,,CodeInjection,no,,explained in function comment,param+func+func doc
ac-fs,isEmptyFolder,p,,TaintedPath,no,,,param+func
ac-fs,unlink,p,,TaintedPath,,,,
accelerated.api,useModules,dirnameOverride,,TaintedPath,,,,
accessibility-insights-scan,scan,sourcePath,,TaintedPath,no,,,param+func
ack-sass,compileFile,outFilePath,,TaintedPath,,,,
addjs,build,output,,TaintedPath,,,,
addjs,start,dir,,TaintedPath,,,,
adir,startDirectoryAggregation,path,"Root directory to start iterating on.
",TaintedPath,no,,,param+func+param doc
adm-zip,adm-zip,inPath,,TaintedPath,,,,
affiance,createContext,hookType,,TaintedPath,,,,
affiance,execSync,command,,CommandInjection,no,,,param+func
affiance,gitDir,repoDir,,TaintedPath,,,,
Agent.Tasks,downloadArchive,downloadPath,,CommandInjection,,,,
ajs,_load,filename,"The path to the file.
",TaintedPath,,,,
alchemyapi_node,image_keywords,data,,TaintedPath,,,,
allto-json,xml_json_file,file,,TaintedPath,no,,,param+func
amagaki-project,writeFileAsync,podPath,,TaintedPath,,,,
ambc,output,o,,TaintedPath,,,,
amplify-cli,add,providerName,,TaintedPath,,,,
amplify-cli,initializeAmplifyConfiguration,destDir,,TaintedPath,,,,
amplify-codegen,createNewProjectDir,prefix,,TaintedPath,,,,
amplify-codegen,getFunctionSrc,name,,TaintedPath,,,,
amplify-codegen,overrideFunctionCode,name,,TaintedPath,,,,
amplify-codegen,overrideFunctionSrc,root,,TaintedPath,,,,
amplify-codegen,updateConfig,projectName,,TaintedPath,,,,
amplify-codegen-e2e-core,readJsonFile,jsonFilePath,,TaintedPath,,,,
amplify-codegen-e2e-core,updateSchema,projectDir,,TaintedPath,,,,
and-cli,add,pathspecs,,CommandInjection,,,,
and-cli,commit,message,,CommandInjection,,,,
and-cli,isCloned,prefix,optional prefix,TaintedPath,,,,
annotations,getSync,filename,,TaintedPath,,,,
antlr4-graps,loadGrammar,fileName,,TaintedPath,no,,,param+func
any2api-util,extract,dir,,TaintedPath,,,,
anytojson,csv,path,,TaintedPath,,,,
app,app,path,,TaintedPath,,,,
app,parse,text,,CodeInjection,yes,,(AnitaTsai/WeGossip) json parse,param+func
app_modules,init,modulesDirectory,,TaintedPath,,,,
app_modules,init,projectRoot,,TaintedPath,,,,
appc-logger,createHttpLogger,logs,,TaintedPath,,,,
appworks,downloadMaterialTemplate,template,,TaintedPath,,,,
ar.js,read,filename,,TaintedPath,,,,
ardrone-autonomy,log,path,,TaintedPath,,,,
arsenal,addFile,filePath,"file path containing JSON
authentication info (see {@link addAccounts()} for format)
",TaintedPath,,,,
asar,extractAll,dest,,TaintedPath,,,,
assemble-handlebars,compile,str,,CodeInjection,no,,,param+func
asset-frequency-graph,asset-frequency-graph,destination,,TaintedPath,,,,
atelier,read,path,,TaintedPath,,,,
attachments-preprocessor-im,process,filename,,TaintedPath,,,,
audio-to-text,audio2Text,file,"文件路径
",TaintedPath,no,,,param+func+param doc
auth0-source-control-extension-tools,loadFile,file,,TaintedPath,,,,
auto-load,autoload,baseDirectory,,TaintedPath,,,,
avsc,createFileEncoder,path,,TaintedPath,,,,
aws-xray-sdk-node,setAWSWhitelist,source,"The path to the custom whitelist file, or a whitelist source JSON object.
",TaintedPath,no,,explained in docstring: source is filepath,param+param doc
aws-xray-sdk-node,setLocalRules,source,,TaintedPath,,,,
aws-xray-sdk-node,setSamplingRules,source,"The path to the custom sampling rules file, or the source JSON object.
",TaintedPath,no,,explained in docstring,param+param doc
azure-pipelines-task-lib,_checkPath,p,,TaintedPath,,,,
azure-pipelines-task-lib,_which,tool,,TaintedPath,,,,
azure-pipelines-task-lib,cp,source,,TaintedPath,,,,
azure-pipelines-task-lib,mv,options,,TaintedPath,,,"explained in docstring: options is string -r, -f or -rf for recursive and force",
azure-pipelines-tool-lib,cacheDir,sourceDir,,TaintedPath,,,,
azure-storage,createAppendBlobFromLocalFile,localFileName,"The local path to the file to be uploaded.
",TaintedPath,,,,
babel,babel,loc,,TaintedPath,,,,
babel-compile,transformDirectorySync,outDir,,TaintedPath,no,,,param+func
backendjs,getFile,file,,TaintedPath,,,,
backfill-repo,setupFixture,fixtureName,,TaintedPath,yes,,in test code (fixture is some kind of directory),param
bananenbase,addModule,name,,TaintedPath,,,,
basys,lint,projectDir,,TaintedPath,no,,,param
beame-sdk,createDir,dirPath,,TaintedPath,,,,
beame-sdk,importCredentials,file,"path to file with encrypted credentials
",TaintedPath,,,,
beame-sdk,saveFileAsync,dirPath,,TaintedPath,,,,
beeline,staticFile,filePath,,TaintedPath,,,,
beezlib,cp,src,"コピー元のファイルパス
",TaintedPath,,,,
beezlib,hbs2hbsc2html,hbsfile,"src hbs file name
",TaintedPath,,,,
bem,fsWalkTreeCb,root,,TaintedPath,,,,
bem,getTechClass,module,"Path to tech module or module object.
",TaintedPath,,,,
bfile,copy,dest,,TaintedPath,,,,
bin-build,directory,dir,,TaintedPath,,,,
bingo-builder,build,filepath,,TaintedPath,,,,
blazepack,detectTemplate,directory,,TaintedPath,,,,
blender,convert,destDir,,TaintedPath,,,,
Blot,walk,dir,,TaintedPath,no,,,param+file
boll,inFixtureDir,dir,,TaintedPath,,,,
botbuilder,handleError,message,,ReflectedXss,yes,,sending error message,param+func
bottlenose,fromFile,filePath,,TaintedPath,,,,
bower,readSync,file,,TaintedPath,,,,
bpmn,addBpmnFilePath,processHandler,,TaintedPath,,,,
broccoli-file-mover,write,destDir,,TaintedPath,,,,
broccoli-filter,processFile,relativePath,,TaintedPath,no,,,param+func
broccoli-handlebars,writeTemplateSync,targetFile,,TaintedPath,no,,,param+func
broccoli-kitchen-sink-helpers,hashTree,fullPath,,TaintedPath,,,,
broccoli-kitchen-sink-helpers,symlinkOrCopyPreserveSync,sourcePath,,TaintedPath,,,,
broccoli-static-compiler,write,destDir,,TaintedPath,,,,
broccoli-terser-sourcemap,processFile,inFile,,TaintedPath,,,,
browserify,transform,tr,,TaintedPath,yes,,,param+func
buffered-spawn,buffered,command,,CommandInjection,no,,,param
build-config,stream,filename,,TaintedPath,,,,
buster-test,load,reporter,,TaintedPath,,,,
bytenode,compileCode,javascriptCode,"JavaScript source that will be compiled to bytecode.
",CodeInjection,no,,,param+func+param doc
cacache,copyByDigest,dest,,TaintedPath,,,,
cacache,stream,cache,,TaintedPath,,,,
cache-swap,removeCached,category,,TaintedPath,,,,
cardano-graphql,loadQueryNode,name,,TaintedPath,,,,
cartero,applyPostProcessorsToFiles,filePaths,,TaintedPath,,,,
cf-abacus,plan,rpid,,TaintedPath,,,,
cfdi,certificar,certificado,,TaintedPath,,,,
cfdi-to-json,extractGeneralData,path,,TaintedPath,no,,,param+func
checksum,checksumFile,filename,,TaintedPath,,,,
child-process-async,exec,command,,CommandInjection,no,,,param+func
child-process-async,spawn,command,,CommandInjection,,,,
chumpi,read,dir,,TaintedPath,,,,
ci_monitor,say,sentence,,CommandInjection,,,,
ckeditor5-dev,getStatus,repositoryPath,"Absolute path to repository.
",CommandInjection,yes,,,param+func+param doc
ckeditor5-dev,isSymlink,path,,TaintedPath,,,,
cli-rewire,run,cmd,"Name of the executable to run
",CommandInjection,,,,
clmtrackr,Tbinop,cc,,CodeInjection,yes,,vague name,unclear
closure-builder,copyFile,src,,TaintedPath,,,,
cloudinary,optionalRequire,moduleName,,TaintedPath,,,,
cluc,ensureEmptyDir,path,,TaintedPath,,,,
cluc,ensureEmptyDirSudo,path,,TaintedPath,,,,
cluc,generateTemplate,localPath,,TaintedPath,,,,
cluc,mkdirSudo,path,,TaintedPath,no,,,param+func
clusterpost,removeDirectorySync,dirpath,,TaintedPath,,,,
clusterpost-lib,uploadFile,filename,,TaintedPath,,,,
cmake-js,execFile,0,,CommandInjection,,,,
cmd-shim,cmdShimIfExists,to,,TaintedPath,,,,
co-fs-plus,readdir,path,,TaintedPath,,,,
cobolscript,compileTemplateFile,filename,,TaintedPath,,,,
codewind-filewatcher,createWatcher,logDir,,TaintedPath,,,,
cody,cody,sitename,,TaintedPath,,,,
coinstac,unlinkFiles,runId,"run to unlink
",TaintedPath,,,,
combohandler,respondMiddleware,body,,ReflectedXss,no,,,param+func
compare-size,compare-size,b,,TaintedPath,,,,
compat-tester,htmlFileAnalyzer,filePath,,TaintedPath,,,,
compile-sass,compileSassAndSave,cssPath,,CommandInjection,yes,,,param+func
compile-sass,setupCleanupOnExit,cssPath,,TaintedPath,no,,,param+README
composer,collectBasicDiagnostics,tmpDirectory,the temporary directory for collecting report output,TaintedPath,,,,
compromise,streamFile,s,,TaintedPath,,,,
confax,getConfig,guildID,,TaintedPath,,,,
config-loader,load,file,,TaintedPath,,,,
consolidate,consolidate,path,,TaintedPath,,,,
consolidate,onLoad,path,,TaintedPath,,,,
convector,readConfig,path,,TaintedPath,no,,,param+func
conventional-changelog-monorepo,createIfMissing,infile,,TaintedPath,,,,
copy-concurrently,copyFile,from,,TaintedPath,,,,
copy-dereference,copyDereferenceSync,dest,,TaintedPath,,,,
cordova-android,createPlatform,destination,"Destination directory, where insatll platform to
",TaintedPath,,,,
cordova-electron,Api,platformRootDir,,TaintedPath,no,,,param
cordova-lib,runInstall,plugins_dir,,TaintedPath,no,,,param
cordova-lib,uninstallPlatform,project_dir,,TaintedPath,no,,,param
cordova-lib,uninstallPlugin,plugins_dir,,TaintedPath,no,,,param
cortex-shrinkwrap,cortex-shrinkwrap,built_root,,TaintedPath,,,,
couch-provider,addDocumentAttachment,name,,TaintedPath,,,,
couch-provider,getDocumentStreamAttachmentUri,name,,TaintedPath,,,,
couch-provider,removeDirectorySync,dirpath,,TaintedPath,no,,,param+func
cover,cover,debugDirectory,,TaintedPath,,,,
cover,hookAndReport,reporterName,,TaintedPath,,,,
cozy-light,clearRequireCache,modulePath,App path to clear from require cache.,TaintedPath,,,,
cp,cp,dest,,TaintedPath,no,,,param+func+param doc
cp-file,cpFile,sourcePath,,TaintedPath,,,,
create-commun-app,CreateCommunApp,appName,,TaintedPath,,,,
cross-zip,zip,outPath,,TaintedPath,,,,
cross-zip,zipSync,inPath,,TaintedPath,,,,
cspell-lib,writeToFileRxP,filename,,TaintedPath,no,,,param+func
cspell-monorepo,checkText,filename,,TaintedPath,no,,,param
cspell-monorepo,isIgnored,file,,TaintedPath,,,,
cspell-monorepo,readFile,filename,,TaintedPath,,,,
css-blocks-monorepo,getBlockRelative,fromIdentifier,"The FileIdentifier that references the base location that the
import path is relative to.
",TaintedPath,,,,
css-blocks-monorepo,identifier,importPath,,TaintedPath,,,,
csv-it,read,file,"The file path of the CSV file.
",TaintedPath,,,,
csvgeocode,generate,inFile,,TaintedPath,,,,
cubejs,deploy,directory,,TaintedPath,,,,
cyto,writeTemplate,outputRoot,,TaintedPath,no,,,param+func+param doc
d3node-output,d3node-output,dest,,TaintedPath,no,,,param+func
danfojs-base,$readJSON,filePath,"URL or local file path to JSON file.
",TaintedPath,,,,
dar-server,writeArchive,archiveDir,,TaintedPath,,,,
dat-share,create,fullDir,"Full path to directory of the dat
",TaintedPath,,,,
davos,pack,output,,TaintedPath,,,,
decentralized-internet,mkdirp,outputdir,,TaintedPath,,,,
deparser,exportDependencyGraph,exportFilePath,,TaintedPath,,,,
depcheck,depcheck,rootDir,,TaintedPath,,,,
