Package,Function,Parameter,Parameter Doc,Sink,Unusual,PR,Comments,Determined By
@adonisjs/fold,require,namespace,,TaintedPath,,,,
@agoric/stat-logger,makeStatLogger,options,,TaintedPath,,,,
@agoric/stat-logger,renderGraph,type,,TaintedPath,,,,
@akashaproject/ipfs-connector,staticGetConfig,config,,CommandInjection,,,,
@akashaproject/ipfs-connector,staticSetConfig,config,,CommandInjection,,,,
@akashaproject/ipfs-connector,staticSetConfig,value,,CommandInjection,yes,,,param+func,archived
@alexa-games/sfb-skill,loadSnippets,locale,Current locale.,TaintedPath,,,,
@alexa-games/sfb-skill,setupFFMPEGbin,workingDir,,TaintedPath,,,,
@aliceo2/web-ui,HttpServer,key,,TaintedPath,no,,"arguably clear in context: ""key"" here means ""credentials key file""",
@alifd/next,requestAnimationFrame,callback,,CodeInjection,no,,,
@amagaki/amagaki,moveFileAsync,afterPath,,TaintedPath,,,,
@amagaki/amagaki,readYaml,podPath,,TaintedPath,,,,
@amagaki/amagaki-plugin-page-builder,buildPartialElement,partial,,TaintedPath,,,,
@angular-devkit/core,read,path,,TaintedPath,,,,
@angular-eslint/utils,RuleTester,parser,,TaintedPath,,,,
@angular/cli,getVersion,name,,CommandInjection,yes,,,client likely won't use it
@angular/cli,normalizeOptions,location,,TaintedPath,no,,,
@angular/devkit-repo,stat,path,,TaintedPath,,,,
@antv/util,requestAnimationFrame,fn,,CodeInjection,no,,,
@api3/airnode-validator,convertJson,templatePath,,TaintedPath,,,,
@apollo/client,normalizeId,id,,TaintedPath,yes,,,
@app-config/encryption,deleteLocalKeys,keychain,,TaintedPath,,,,
@app-config/encryption,initializeLocalKeys,privateKey,,TaintedPath,,,,
@app-config/encryption,initializeLocalKeys,publicKey,,TaintedPath,,,,
@app-config/monorepo,initializeLocalKeys,privateKey,,TaintedPath,,,,
@app-config/monorepo,initializeLocalKeys,revocationCert,,TaintedPath,,,,
@applitools/spec-driver-playwright,executeScript,script,,CodeInjection,,,,
@applitools/test-server,testServer,key,,TaintedPath,,,,
@appnest/readme,checkLinksCommand,options,,TaintedPath,,,,
@appworks/common-service,getFolderExistsTime,folderPath,,TaintedPath,,,,
@aragon/toolkit,deployContract,artifactName,,TaintedPath,,,,
@aragon/toolkit,deployContract,artifactPackage,,TaintedPath,,,,
@aragon/toolkit,getContract,contract,,TaintedPath,,,,
@archivistnerd/walksync,walksync,base,,TaintedPath,no,,this repo is to walk the filesystem,README
@assemblyscript/loader,instantiate,source,,CodeInjection,,,,
@assemblyscript/loader,instantiateStreaming,source,,CodeInjection,,,,
@asymmetrik/fhir-qb,QueryBuilder,packageName,,TaintedPath,,,,
@athenz/auth-core,getPublicKey,domain,,TaintedPath,yes,,probably fine,param+func
@athenz/auth-core,getPublicKey,service,,TaintedPath,,,,
@atlaskit/editor-test-helpers,builderEval,data,,CodeInjection,no,,,
@auth0/cosmos-scripts,getConfig,mode,,TaintedPath,,,,
@author.io/metadoc-plugin,walk,directory,,TaintedPath,,,,
@autorest/extension-base,getValue,key,,CodeInjection,yes,,,param+func,executed in a "safe-eval sandbox to execute code" (https://github.com/Azure/autorest/blob/main/packages/libs/codegen/src/safe-eval.ts)
@autorest/testmodeler,loadAvailableTestResources,fileRoot,,TaintedPath,,,,
@autorest/testmodeler,loadTestResourcesFromConfig,fileRoot,,TaintedPath,no,,,param+func
@aws-cdk/cfnspec,resourceAugmentation,typeName,,TaintedPath,,,,
@axiosleo/cli-tool,load,use,,TaintedPath,,,,
@axiosleo/cli-tool,use,set,,TaintedPath,,,,
@azure-actions/utilities,cp,options,,TaintedPath,,,,
@azure/oad,compareTags,newSwagger,,TaintedPath,,,,
@azure/oad,processViaAutoRest,tagName,"Name of the tag in the specification file.
",CommandInjection,,,,
@azure/storage-blob,uploadFileToBlockBlob,filePath,,TaintedPath,,,,
@babel/cli,handleFile,base,,TaintedPath,no,,,
@babel/cli,readDir,loc,,TaintedPath,no,,,
@babel/cli,write,base,,TaintedPath,no,,,
@babel/core,copyFile,source,,TaintedPath,no,,,
@babel/core,copyFile,target,,TaintedPath,no,,,
@babel/preset-modules,nextTick,callback,,CodeInjection,no,,,
@babel/preset-modules,setImmediate,callback,,CodeInjection,no,,,
@best/runner,getBrowserSpecs,runner,,TaintedPath,,,,
@best/runner,validateRunner,runner,,TaintedPath,,,,
@better-scroll/shared-utils,requestAnimationFrame,callback,,CodeInjection,no,,,
@bitovi/velocirender,@bitovi/velocirender,pth,,TaintedPath,no,,velocirender renders from a HTML file (`pth` is abbreivation for path),param+README
@blog/api,persistApi,apiPath,,TaintedPath,,,,
@bojagi/integration-test-utils,execBojagi,basePath,,CommandInjection,,,,
@botonic/nlp,load,path,,TaintedPath,no,,,param+func
@botonic/pulumi,initAWSProvider,version,,TaintedPath,yes,,,param+func
@brickd/hooks,useHiddenComponent,condition,,CodeInjection,,,,
@brickd/utils,evalExpression,expression,,CodeInjection,no,,,
@bugsnag/electron-filestore,deleteMinidump,eventPath,,TaintedPath,,,,
@butlerlogic/common-api,replyWithError,message,,ReflectedXss,yes,,,param+func
@bytedance/mona-shared,readConfig,filename,,TaintedPath,,,,
@caerusjs/monorepo,createFile,path,,TaintedPath,,,,
@canopycanopycanopy/b-ber,set,name,,TaintedPath,,,,
@canopycanopycanopy/b-ber-lib,set,name,,TaintedPath,,,,
@cityofboston/deploy-tools,buildImage,dir,,CommandInjection,,,,
@cityofboston/deploy-tools,buildImage,tags,,CommandInjection,,,,
@cityofboston/deploy-tools,pullImage,image,,CommandInjection,yes,,,param+func,"“Published” locally as an npm packed tgz file so we can use it with npx without needing to install all of the monorepo’s dependencies to do deploy tasks."
@cityofboston/deploy-tools,pullImage,tag,,CommandInjection,,,,
@cityofboston/deploy-tools,pushImage,image,,CommandInjection,,,,
@cityofboston/deploy-tools,runScopedLernaScript,scope,,CommandInjection,,,,
@cityofboston/hapi-common,register,queriesDirPath,,TaintedPath,,,,
@ckeditor/ckeditor5-dev-utils,checkout,branchName,Name of the branch to checkout.,CommandInjection,yes,,,param
@ckeditor/ckeditor5-dev-utils,commit,message,,CommandInjection,yes,,,param+func
@ckeditor/ckeditor5-dev-utils,getGitUrlFromNpm,name,"Name of the module.
",CommandInjection,yes,,,param+func+param doc
@ckeditor/ckeditor5-dev-utils,isFile,path,,TaintedPath,no,,,param+func
@ckeditor/ckeditor5-dev-utils,linkDirectories,destination,,CommandInjection,,,,
@ckeditor/ckeditor5-dev-utils,npmInstall,path,,CommandInjection,,,,
@ckeditor/ckeditor5-dev-utils,npmUninstall,name,,CommandInjection,,,,
@ckeditor/ckeditor5-dev-utils,npmUpdate,path,,CommandInjection,,,,
@ckeditor/ckeditor5-dev-utils,shExec,command,"The command to be executed.
",CommandInjection,,,,
@cloud-gems/cloudgemdefectreporter,fetchQueryFromInput,input,"String input from user.
",CodeInjection,,,,
@cloudflare/json-schema-apidoc-loader,@cloudflare/json-schema-apidoc-loader,source,,CodeInjection,,,,
@clusterio/lib,getTempFile,prefix,"Prefix for file
",TaintedPath,no,,,func+param doc
@clusterio/lib,migrateLogs,log,,TaintedPath,no,,,param+func
@clusterio/lib,migrateLogs,pattern,,TaintedPath,,,,
@clusterio/lib,queryLog,logDirectory,"path to directory with logs.
",TaintedPath,,,,
@codotype/runtime,readFile,filepath,,TaintedPath,,,,
@conga/annotations,registerAnnotation,path,,TaintedPath,no,,,param+README
@corefunc/corefunc,jsonParseAttempt,value,,CodeInjection,yes,,this is a false positive: the value doesn't flow to a code-injection sink after all (context dependency),
@corefunc/corefunc,jsonParseDeep,text,,CodeInjection,yes,,,param+func
@corefunc/corefunc,jsonParseSafe,text,,CodeInjection,yes,,,
@corefunc/corefunc,jsonParseUnsafe,text,,CodeInjection,,,,
@corenode/pkg-manager,canPublish,packagePath,,TaintedPath,,,,
@coreui/react-docs,@coreui/react-docs,directory,,TaintedPath,no,,,param
@cqrsfk/core,Domain,name,,TaintedPath,yes,,unsafe path construction,
@creditkarma/mimic-core,persist,id,,TaintedPath,,,,
@creditkarma/mimic-core,writeConfigFolder,ext,,TaintedPath,,,,
@creditkarma/mimic-graphql,delete,id,,TaintedPath,,,,
@creditkarma/mimic-thrift,delete,id,,TaintedPath,,,,
@cucumber/cucumber,build,type,,TaintedPath,yes,,,param+func
@cucumber/cucumber,getConstructorByType,type,,TaintedPath,,,,
@cumulus/test-data,loadTestData,name,,TaintedPath,,,,
@dadi/api,Connection,storeName,,TaintedPath,,,,
@danielwii/asuna-node-server,injectContext,message,,CodeInjection,,,,
@danielwii/asuna-node-server,regInitializer,config,,ReflectedXss,yes,,,param+func,is it stored XSS?
@databases/migrations-base,delete,filename,,TaintedPath,,,,
@dawnjs/cli,get,name,,TaintedPath,,,,
@deepkit/core,createDynamicClass,name,,CodeInjection,yes,,"contacted maintainer; acknowledged, fixed by removing the function",
@deepkit/core-node,findParentPath,origin,,TaintedPath,,,,
@deepkit/core-node,getJobConfig,rootDir,,TaintedPath,,,,
@deepkit/core-node,startConnect,token,,CommandInjection,yes,,connect to another machine via ssh (token),param+func
@dendronhq/common-server,file2Schema,fpath,,TaintedPath,,,,
@dendronhq/common-server,findInParent,base,,TaintedPath,,,,
@dendronhq/common-server,getGitProviderOwnerAndRepositoryFromGitConfig,uri,,TaintedPath,,,,
@deriv/components,useLongPress,callback,,CodeInjection,no,,,
@deskpro/apps-dpat,appVersion,projectDir,,TaintedPath,,,,
@deskpro/apps-dpat,resolveOptions,options,,TaintedPath,,,,
@diez/mono,cliRequire,plugin,,TaintedPath,no,,nodejs cli `require(plugin)`,func+README
@diez/mono,locateFont,fontFamily,,CommandInjection,,,,
@directus/drive,getStat,location,,TaintedPath,,,,
@docusaurus/utils,getFileCommitDate,file,,CommandInjection,,,,
@dreesq/serpent,load,type,,TaintedPath,,,,
@easy-team/easywebpack-cli,getEasyInstallPackage,name,,TaintedPath,,,,
@easy-team/easywebpack-cli,updatePackageFile,fileDir,,TaintedPath,no,,,param+func+package
@egodigital/egoose,importApiErrorsSync,errors,,TaintedPath,,,,
@egodigital/egoose,isFIFOSync,path,,TaintedPath,,,,
@egodigital/egoose,isSymLink,path,,TaintedPath,no,,,param+func
@electron-forge/test-utils,expectProjectPathExists,dir,,TaintedPath,,,,
@electron/fuses,getCurrentFuseWire,pathToElectron,,TaintedPath,,,,
@endo/daemon,start,cachePath,,TaintedPath,no,,,param
@epispot/epijs,plot,title,"The title of the graph.
",ReflectedXss,yes,https://github.com/epispot/EpiJS/pull/191,,param+func+param doc
@evervault/sdk,cagify,cageName,,CommandInjection,,,,
@f5devcentral/f5-cloud-libs,checkPasswordCrack,password,"Password string.
*",CommandInjection,,,,
@f5devcentral/f5-cloud-libs,deleteArgs,id,"Some unique id for the process. This will be used as the file name in which
to store the files.",TaintedPath,,,,
@f5devcentral/f5-cloud-libs,getCloudProvider,name,"Name of the provider
",TaintedPath,,,,
@f5devcentral/f5-cloud-libs,getKeyFilePath,keyType,"File type. For example: certificate_key or ifile.
",CommandInjection,yes,,,param+func+param doc
@f5devcentral/f5-cloud-libs,once,signal,,TaintedPath,,,,
@f5devcentral/f5-cloud-libs,saveArgs,id,"Some unique id for the process. This will be used
as the file name in which
to store the files.
",TaintedPath,,,,
@f5devcentral/f5-cloud-libs,saveUcs,file,"Base name of ucs file
*",CommandInjection,yes,,,param+func+param doc
@f5devcentral/f5-cloud-libs,symmetricEncrypt,publicKeyDataOrFile,"Either the public key, or the full path to
a file containing the public key. The symmetric
key will be encrypted with this key.
",TaintedPath,,,,
@f5devcentral/f5-cloud-libs,writeDataToFile,file,"The file to write to
*",TaintedPath,,,,
@fab/sandbox-node-vm,default,src,,CodeInjection,no,,,
@favware/yamlreader,readYaml,filepath,,TaintedPath,,,,
@fimbul/wotan,require,id,,TaintedPath,no,,,func
@fimbul/wotan,resolve,id,,TaintedPath,,,,
@finastra/nestjs-oidc,user,userinfo,,ReflectedXss,yes,,probably fine (return self userinfo),param+func
@fluidframework/test-version-utils,ensurePackageInstalled,version,,TaintedPath,,,,
@fluxgate/platform,configure,config,,TaintedPath,,,,
@foal/core,render,dirname,,TaintedPath,no,,,param+func
@frank-mayer/magic,retriggerableDelay,callback,,CodeInjection,no,,,
@frank-mayer/photon,retriggerableDelay,callback,,CodeInjection,no,,,
@frctl/core,describe,dir,,TaintedPath,,,,
@frctl/core,engine,adapter,,TaintedPath,,,,
@frctl/web,theme,instance,,TaintedPath,,,,
@fxi/mx_valid,isViewType,validator,,CodeInjection,,,,
@google-cloud/nodejs-repo-tools,getRepoPath,cwd,,TaintedPath,no,,,param+func
@google-cloud/nodejs-repo-tools,load,filename,,TaintedPath,,,,
@google-cloud/nodejs-repo-tools,spawnAsyncWithIO,cwd,,TaintedPath,no,,,param+func
@google-cloud/storage,upload,pathString,"The fully qualified path to the file you
wish to upload to your bucket.
",TaintedPath,,,,
@gourmet/renderer-sandbox,require,id,,TaintedPath,no,,,func
@gourmet/send-content,sendContent,content,,ReflectedXss,no,,,param+func
@gourmet/storage-fs,stat,path,,TaintedPath,,,,
@gql2ts/util,writeToFile,fileName,,TaintedPath,,,,
@gqlapp/upload-server-ts,save,location,,TaintedPath,,,,
@graphql-tools/load-files,loadFilesSync,pattern,,TaintedPath,,,,
@grucloud/k8s-manifest2code,main,input,,TaintedPath,,,,
@grucloud/meta,main,input,,TaintedPath,,,,
@gyselroth/node-advanced-desktop,setFolderIcon,icon,,CommandInjection,yes,,,param+func
@gyselroth/node-advanced-desktop,setFolderIcon,node,,CommandInjection,,,,
@gyselroth/node-advanced-desktop,setFolderIcon,node,,TaintedPath,no,,`node` refers to the folder in windows,param+func+README
@haul-bundler/core,resolveModule,name,,TaintedPath,,,,
@haventech/amorphic,getTemplates,appPath,"The path for app files.
",TaintedPath,,,,
@haventech/amorphic,listen,appDirectory,"unknown
",TaintedPath,no,,,param
@haventech/amorphic-framework,startPersistorMode,appDirectory,"unknown
",TaintedPath,no,,,param
@hilesystem/local,fileIsExecutable,t,,TaintedPath,,,,
@hilesystem/local,getStatus,e,,TaintedPath,,,,
@hilesystem/local,listContents,t,,TaintedPath,,,,
@hilesystem/local,move,t,,TaintedPath,no,,,func
@hint/utils-fs,isDirectory,directoryPath,,TaintedPath,,,,
@hint/utils-fs,loadJSFile,filePath,,CodeInjection,no,,,
@hint/utils-fs,readFile,filePath,,TaintedPath,,,,
@igniteui/cli-core,queuePackage,packageName,,CommandInjection,,,,
@imqueue/rpc,IMQClient,name,,TaintedPath,yes,,unsafe path construction,
@imqueue/rpc,writeFile,path,,TaintedPath,,,,
@iobroker/create-adapter,executeCommand,cwd,,TaintedPath,,,,
@iobroker/create-adapter,readTextFile,fileName,,TaintedPath,no,,,param+func
@iobroker/db-base,loadDatasetFile,datasetName,"Filename of the file to load
",TaintedPath,,,,
@iobroker/db-objects-file,dirExists,id,,TaintedPath,,,,
@iobroker/db-objects-file,dirExists,id,"id of the namespace
",TaintedPath,,,,
@iobroker/db-objects-jsonl,dirExists,id,,TaintedPath,,,,
@iobroker/js-controller-cli,streamChange,path,"The file to stream
",TaintedPath,,,,
@ionic/app-scripts,getSystemText,userRootDir,,TaintedPath,,,,
@ionic/app-scripts,processDirectiveRequest,ngModulePath,,TaintedPath,,,,
@ionic/app-scripts,run,task,,TaintedPath,,,,
@ionic/utils-fs,pathAccessible,filePath,,TaintedPath,,,,
@ionic/utils-fs,writeStreamToFile,destination,,TaintedPath,,,,
@isobel/file-system,read,endpoint,,TaintedPath,no,,,
@isobel/file-system,save,endpoint,,TaintedPath,no,,,
@jenkins-blueocean/js-builder,warnOnMissingDependency,depName,,TaintedPath,yes,,,param+func
@jenkins-cd/js-builder,findClosest,fileName,"The file name to look for.
",TaintedPath,no,,,param+func
@jfrog/jfrog-azure-devops-extension,configureDefaultJfrogServer,workDir,"Working directory.
",TaintedPath,,,,
@jfrog/jfrog-azure-devops-extension,removeExtractorsDownloadVariables,workDir,,TaintedPath,,,,
@jfrog/tasks-utils,executeCliCommand,runningDir,,TaintedPath,,,,
@jfrog/tasks-utils,useCliServer,buildDir,,TaintedPath,no,,,param+func
@jimp/monorepo,loadConfiguration,types,,TaintedPath,no,,,
@jupyterlab/buildutils,getLernaPaths,basePath,,TaintedPath,,,,
@jupyterlab/buildutils,startLocalRegistry,port,,CommandInjection,yes,https://github.com/jupyterlab/jupyterlab/pull/12357,,
@k2g/dullahan,findElement,selector,,CodeInjection,,,,
@kalmia/jsf-common,runEval,lambda,,CodeInjection,,,,
@kalmia/jsf-common,runEvalWithContext,lambda,,CodeInjection,,,,
@kartotherian/jobprocessor,fileParser,filepath,,TaintedPath,,,,
@karya/compression,gunzipFile,input,,TaintedPath,no,,,
@kgryte/gitattributes,cp,dest,".gitattributes destination directory
",TaintedPath,,,,
@kkt/plugin-ssr,createNewWebpackManifestPlugin,type,,TaintedPath,,,,
@kkt/plugin-ssr,restWebpackManifestPlugin,type,,TaintedPath,,,,
@koishijs/scripts,requireSafe,id,,TaintedPath,,,,
@kosko/monorepo,loadFile,path,,TaintedPath,,,,
@kosko/monorepo,requireDefault,id,,TaintedPath,,,,
@kosko/monorepo,resolve,id,,TaintedPath,,,,
@kosko/require,requireDefault,id,,TaintedPath,,,,
@kosko/require,resolve,id,,TaintedPath,,,,
@kubernetes-models/export-map,generate,ignoreFile,,TaintedPath,,,,
@kui-shell/core,@kui-shell/core,plugin,,TaintedPath,,,,
@leizm/utils,customError,name,,CodeInjection,,,,
@lerna-test/pkg-matchers,toHaveExecutables,received,,TaintedPath,,,,
@lerna-test/show-commit,showCommit,cwd,,TaintedPath,no,,,param+func
@lerna/npm-install,npmInstallDependencies,manifestLocation,,TaintedPath,,,,
@lerna/npm-publish,npmPublish,tarFilePath,,TaintedPath,no,,,param+func
@lerna/publish,execScript,script,,TaintedPath,,,,
@linaria/babel-preset,evaluate,text,,CodeInjection,,,,
@liskhq/lisk-db,KVStore,filePath,,TaintedPath,,,,
@loopback/repository,defineModelClass,name,,CodeInjection,yes,,,param+func+func doc
@luma.gl/api,requestAnimationFrame,callback,,CodeInjection,no,,,
@luma.gl/debug,compileShaderModule,moduleName,,CodeInjection,,,,
@lumieducation/h5p-monorepo,createSingleBundle,contentId,"a content id that can be found in the content repository
passed into the constructor
",TaintedPath,,,,
@lumieducation/h5p-server,h5pfs,librariesPath,,TaintedPath,,,,
@machinelabs/core,parseMlYamlFromPath,path,,TaintedPath,,,,
@magento/pwa-buildpack,evalInDom,content,,CodeInjection,no,,,
@magento/pwa-buildpack,evalScript,source,"Code to be evaluated.
",CodeInjection,no,,,
@magento/pwa-studio,evalInDom,content,,CodeInjection,,,,
@maizzle/framework,transformContents,config,,TaintedPath,,,,
@makenova/nodeginx,manageNginx,action,,CommandInjection,,,,
@makenova/nodeginx,removeSite,site,,CommandInjection,,,,
@mapbox/node-pre-gyp,run,args,,CommandInjection,yes,,"in test code, so no practical impact",
@mapbox/tile-reduce,tileReduce,map,,TaintedPath,,,,
@mapbox/tilejson,findID,id,,TaintedPath,,,,
@mapbox/tilelive-mapnik,findID,id,,TaintedPath,,,,
@mapbox/tilelive-vector,tm2z,uri,,TaintedPath,,,,
@metaexplorer/editor-dev-server,copyDir,dest,,TaintedPath,,,,
@metaexplorer/editor-dev-server,mkdir,dir,,TaintedPath,,,,
@microfleet/plugin-redis-core,performMigration,scripts,,TaintedPath,,,,
@microsoft/api-extractor,loadConfigAndInvoke,configFilePath,,TaintedPath,,,,
@microsoft/azdata-test,downloadAndUnzipAzureDataStudio,version,,TaintedPath,,,,
@microsoft/marked-schema,buildModel,schema,,TaintedPath,,,,
@microsoft/marked-schema,getExampleForProperty,example,,TaintedPath,,,,
@microsoft/teamsfx-core,installExtension,backendRoot,,TaintedPath,,,,
@mikro-orm/core,get,name,,TaintedPath,,,,
@ministryofjustice/fb-deploy-utils,getAppRepoSecrets,name,"Application name
*",CommandInjection,,,,
@ministryofjustice/fb-deploy-utils,getImageRepoSecrets,image,"Image suffix
Ignored if 'default'
*",CommandInjection,,,,
@moibitjs/core,@moibitjs/core,unit,In what storage unit you want the storage details,CodeInjection,,,,
@mojaloop/central-services-shared,createParticipantTopicConf,template,"The template for that needs to be populated
",CodeInjection,no,,kafka topic template to be filled by mustache,param+param doc+filename
@mphpmaster/underz,createNewErrorType,typeName,,CodeInjection,yes,,,param+func
@naturacosmeticos/node-base,onInvalidAuthorization,error,,ReflectedXss,yes,,sending error message,param+func
@ncigdc/theme,setTheme,version,,TaintedPath,,,,
@neft/compiler-binding,isBinding,code,,CodeInjection,no,,,
@nexrender/provider-gs,upload,src,,TaintedPath,,,,
@nimbella/nimbella-deployer,readProject,projectPath,,TaintedPath,,,,
@nishans/markdown,parseFile,path,,TaintedPath,,,,
@nocobase/client,RecordLink,to,,CodeInjection,yes,,,param+func
@nocobase/database,requireModule,module,,TaintedPath,no,,,
@nocobase/resourcer,requireModule,module,,TaintedPath,no,,,
@node-sass/json-importer,@node-sass/json-importer,url,,TaintedPath,,,,
@node-wot/binding-websockets,WebSocketServer,serverKey,,TaintedPath,,,,
@nodearch/core,findUp,searchPath,,TaintedPath,,,,
@nohost/router,writeError,stack,,ReflectedXss,yes,,,param+func
@nohost/server,writeError,stack,,ReflectedXss,yes,,,param+func
@now/build-utils,runNpmInstall,destPath,,TaintedPath,,,,
@now/build-utils,runShellScript,fsPath,,CommandInjection,,,,
@nrwl/workspace,copyFile,file,,TaintedPath,,,,
@nrwl/workspace,copyFile,target,,TaintedPath,no,,,
@nrwl/workspace,updatePackagesInPackageJson,migrationFilePath,,TaintedPath,,,,
@nut-project/webpack,webpackRequire,request,,TaintedPath,,,,
@nx-console/vscode/tasks,selectGenerator,workspacePath,,TaintedPath,no,,,param+func
@nx-js/compiler-util,compileRawCode,src,,CodeInjection,no,,,
@nx-js/compiler-util,compileRawExpression,src,,CodeInjection,no,,,
@okiba/functions,debounce,callback,,CodeInjection,no,,,
@okiss/utils,runRule,o,,CodeInjection,yes,,very generic name,unclear
@okta/okta-auth-js,setEnvironmentVarsFromTestEnv,currDir,,TaintedPath,,,,
@openintegrationhub/webhooks,sendResponse,body,,ReflectedXss,no,,,param+func
@optoolco/fake-aws,cacheFunctionsToDisk,region,,TaintedPath,,,,
@origami/core-lib,setupControllers,context,,TaintedPath,,,,
@origami/core-lib,setupResources,context,,TaintedPath,,,,
@origami/core-server,plugin,name,,TaintedPath,,,,
@osd/config,createDefault,repoRoot,,TaintedPath,no,,,param+func
@overnightjs/logger,CheckExists,filePath,,TaintedPath,no,,,param+func
@packages/launcher,launch,path,,CommandInjection,,,,
@parcel/cache,hasLargeBlob,key,,TaintedPath,,,,
@parcel/fs,exists,filePath,,TaintedPath,no,,,param+func
@parcel/package-manager,install,from,,TaintedPath,no,,annotated as FilePath,param+func
@pattern-lab/live-server,start,httpsModule,,TaintedPath,,,,
@pika/pack,cli,args,,TaintedPath,,,,
@pivotal-tools/jvm-launch-utils,findJdk,javaHome,,TaintedPath,,,,
@pkgr/utils,findUp,searchFile,,TaintedPath,,,,
@pkgr/utils,tryFile,filePath,,TaintedPath,,,,
@plugcore/core,fileOrFolderExists,folderPath,,TaintedPath,,,,
@plugcore/core,removeFile,filePath,,TaintedPath,,,,
@plumier/core,generateRoutes,controller,,TaintedPath,,,,
@plumier/generic-controller,generateGenericControllerRoutes,controller,,TaintedPath,,,,
@ply-ct/ply,CodeSamples,method,,TaintedPath,yes,,unsafe path construction,
@ply-ct/ply,readTemplates,method,,TaintedPath,,,,
@pnpm/exportable-manifest,makePublishManifest,dir,,TaintedPath,,,,
@pnpm/read-project-manifest,readProjectManifestOnly,projectDir,,TaintedPath,,,,
@pollyjs/node-server,getRecording,recording,,TaintedPath,,,,
@polymer/gen-typescript-declarations,generateDeclarations,rootDir,,TaintedPath,,,,
@prairielearn/html-ejs,renderEjs,template,,CodeInjection,no,,template engine for HTML (`template` is raw string),param+func+func doc
@prisma/sdk,load,id,,TaintedPath,,,,
@project-watchtower/cli,clean,paths,,TaintedPath,,,,
@project-watchtower/server,existsSync,file,,TaintedPath,,,,
@project-watchtower/server,getFileSize,filePath,,TaintedPath,,,,
@public-js/fs-ext,forEachFile,dir,,TaintedPath,,,,
@pushcorn/hocon-parser,getClass,name,,TaintedPath,,,,
@pushrocks/smartenv,getSafeNodeModule,moduleNameArg,,CodeInjection,yes,,,param
@pushrocks/smartshell,execAndWaitForLine,commandStringArg,,CommandInjection,no,,"explained in docstring: ""executes a command""",param+func doc
@raincatcher/filestore,readFile,id,,TaintedPath,,,,
@rapidimages/storage-api-file-provider,createReadStream,key,,TaintedPath,no,,,
@rapidimages/storage-api-file-provider,meta,key,,TaintedPath,,,,
@react-native-community/cli-tools,fetchToTemp,url,,TaintedPath,,,,
@react-spectrum/test-utils,testSSR,source,,CodeInjection,,,,
@react-stately/toast,Timer,callback,,CodeInjection,no,,,
@reactant/core,install,platformName,,TaintedPath,,,,
@redux-devtools/utils,evalAction,action,,CodeInjection,no,,,
@redux-devtools/utils,evalMethod,action,,CodeInjection,no,,,
@redwoodjs/cli,readFile,target,,TaintedPath,no,,,
@redwoodjs/cli,writeFile,target,,TaintedPath,no,,,
@redwoodjs/internal,prebuildApiFile,srcPath,,TaintedPath,,,,
@reskript/cli-play,run,target,,TaintedPath,no,,,
@reskript/core,resolve,id,,TaintedPath,,,,
